Brand,Model,Case Material,Strap Material,Movement Type,Water Resistance,Case Diameter (mm),Case Thickness (mm),Band Width (mm),Dial Color,Crystal Material,Complications,Power Reserve,Price (USD)
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,38.0,10.88,25.0,Black,Sapphire,Date,46 hours,8700
Ulysse Nardin,Marine Torpilleur,Stainless Steel,Leather,Automatic,50 meters,42.0,11.15,20.0,Blue,Sapphire,Date,60 hours,7900
Sinn,U50,German Submarine Steel,Silicone,Automatic,500 meters,45.0,14.7,22.0,Black,Sapphire,None,38 hours,3350
Rolex,Datejust,Stainless Steel,Jubilee,Automatic,100 meters,36.0,12.5,20.0,Black,Sapphire,Date,70 hours,8000
Omega,Speedmaster,Stainless Steel,Stainless Steel,Automatic,50 meters,42.0,13.5,20.0,Black,Sapphire,Chronograph,60 hours,6500
Cartier,Ballon Bleu,Stainless Steel,Leather,Automatic,30 meters,33.0,9.96,16.0,Silver,Sapphire,Date,42 hours,4500
Tag Heuer,Aquaracer,Stainless Steel,Stainless Steel,Quartz,300 meters,43.0,10.8,20.0,Blue,Sapphire,None,,1800
Breitling,Superocean,Stainless Steel,Rubber,Automatic,2000 meters,42.0,13.32,20.0,Blue,Sapphire,Date,38 hours,3600
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41.0,12.3,22.0,Blue,Sapphire,Date,60 hours,8900
Panerai,Luminor Marina,Titanium,Leather,Manual,300 meters,44.0,13.05,24.0,Black,Sapphire,None,56 hours,5700
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,22.0,Blue,Sapphire,Date,45 hours,34000
Jaeger-LeCoultre,Master Ultra Thin,Stainless Steel,Leather,Automatic,50 meters,39.0,7.58,20.0,Silver,Sapphire,None,43 hours,6800
Bell & Ross,BR V2-92,Stainless Steel,Rubber,Automatic,100 meters,41.0,9.7,22.0,Black,Sapphire,Date,40 hours,2500
Montblanc,1858,Bronze,Leather,Automatic,100 meters,44.0,12.8,22.0,Black,Sapphire,None,42 hours,5300
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,22.0,Blue,Sapphire,Date,45 hours,34000
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,9.8,20.0,Black,Sapphire,Date,60 hours,22000
Vacheron Constantin,Overseas,Stainless Steel,Rubber,Automatic,150 meters,41.0,11.0,21.0,Blue,Sapphire,Date,60 hours,17500
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41.0,13.1,22.0,Silver,Sapphire,Date,60 hours,8500
Hublot,Big Bang,Ceramic,Rubber,Automatic,100 meters,44.5,14.5,22.0,Black,Sapphire,Chronograph,72 hours,15000
Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,38.0,12.4,19.0,White,Sapphire,Chronograph,50 hours,6000
Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,50 meters,42.0,12.67,20.0,Black,Sapphire,Chronograph,48 hours,5000
Panerai,Luminor,Titanium,Rubber,Automatic,300 meters,44.0,13.05,24.0,Black,Sapphire,None,72 hours,8500
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,42.0,10.88,22.0,Blue,Sapphire,Date,54 hours,9000
Blancpain,Fifty Fathoms,Stainless Steel,NATO Strap,Automatic,300 meters,45.0,15.5,23.0,Black,Sapphire,None,120 hours,12500
Bulgari,Octo Finissimo,Titanium,Leather,Automatic,30 meters,40.0,5.5,21.0,Black,Sapphire,None,55 hours,10000
Tudor,Black Bay,Stainless Steel,Leather,Automatic,200 meters,41.0,12.7,22.0,Black,Sapphire,Date,70 hours,3800
Panerai,Luminor Marina,Stainless Steel,Leather,Automatic,300 meters,44.0,13.05,22.0,Black,Sapphire,Date,72 hours,8900
Hublot,Big Bang,Titanium,Rubber,Automatic,100 meters,44.0,14.5,25.0,Black,Sapphire,Chronograph,72 hours,16800
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,40.9,12.3,20.0,Silver,Sapphire,Date,44 hours,6900
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,9.8,20.0,Blue,Sapphire,Date,60 hours,24500
Vacheron Constantin,Overseas,Stainless Steel,Rubber,Automatic,150 meters,41.5,11.0,21.0,Silver,Sapphire,Date,40 hours,19500
Breguet,Classique,18k White Gold,Leather,Automatic,30 meters,39.0,8.65,20.0,Silver,Sapphire,Date,55 hours,24500
Piaget,Altiplano,18k Rose Gold,Leather,Manual,30 meters,38.0,6.0,20.0,White,Sapphire,None,43 hours,20800
Blancpain,Fifty Fathoms,Stainless Steel,Fabric,Automatic,300 meters,45.0,15.5,23.0,Black,Sapphire,Date,120 hours,13000
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,41.0,10.88,22.0,Black,Sapphire,Date,46 hours,9700
Zenith,Chronomaster,Stainless Steel,Leather,Automatic,50 meters,42.0,14.05,22.0,Silver,Sapphire,Chronograph,50 hours,7400
Breitling,Superocean Heritage II,Stainless Steel,Rubber,Automatic,200 meters,44.0,14.2,22.0,Black,Sapphire,Date,70 hours,4300
Cartier,Santos de Cartier,Stainless Steel,Stainless Steel,Automatic,100 meters,39.8,9.08,20.0,Silver,Sapphire,Date,42 hours,6500
Omega,Speedmaster,Stainless Steel,Leather,Manual,50 meters,42.0,13.7,20.0,Black,Hesalite,Chronograph,48 hours,5500
Rolex,GMT-Master II,Stainless Steel,Stainless Steel,Automatic,100 meters,40.0,12.4,20.0,Black,Sapphire,"GMT, Date",70 hours,9100
Jaeger-LeCoultre,Master Control,Stainless Steel,Leather,Automatic,50 meters,40.0,8.8,20.0,Silver,Sapphire,Date,70 hours,7500
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,10.4,20.0,Blue,Sapphire,Date,60 hours,20900
IWC,Pilot's Watch Mark XVIII,Stainless Steel,Leather,Automatic,60 meters,40.0,10.8,20.0,Black,Sapphire,Date,42 hours,4200
Patek Philippe,Calatrava,18k White Gold,Leather,Automatic,30 meters,39.0,8.6,20.0,Silver,Sapphire,Date,48 hours,22000
Tag Heuer,Aquaracer,Stainless Steel,Stainless Steel,Quartz,300 meters,32.0,9.5,15.0,Blue,Sapphire,None,,1700
Tudor,Black Bay,Stainless Steel,Leather,Automatic,200 meters,41.0,12.7,22.0,Black,Sapphire,Date,70 hours,3600
Rolex,Datejust,Stainless Steel,Jubilee Bracelet,Automatic,100 meters,36.0,12.5,20.0,Silver,Sapphire,Date,70 hours,8900
Omega,Speedmaster,Stainless Steel,Stainless Steel,Automatic,50 meters,42.0,13.5,20.0,Black,Sapphire,Chronograph,60 hours,6800
Tag Heuer,Aquaracer,Stainless Steel,Stainless Steel,Quartz,300 meters,43.0,10.8,21.0,Blue,Sapphire,Date,,2600
Breitling,Superocean Heritage,Stainless Steel,Leather,Automatic,200 meters,42.0,14.35,20.0,Black,Sapphire,Date,38 hours,4400
Cartier,Ballon Bleu,18k Rose Gold,Leather,Automatic,30 meters,33.0,9.96,18.0,Silver,Sapphire,Date,42 hours,13000
Jaeger-LeCoultre,Master Control,Stainless Steel,Leather,Automatic,50 meters,39.0,8.5,20.0,Silver,Sapphire,Date,70 hours,7500
Tudor,Black Bay GMT,Stainless Steel,Stainless Steel,Automatic,200 meters,41.0,14.5,22.0,Black,Sapphire,GMT,70 hours,4500
Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,38.0,12.45,19.0,White,Sapphire,Chronograph,50 hours,6900
Longines,HydroConquest,Stainless Steel,Stainless Steel,Automatic,300 meters,41.0,12.65,20.0,Black,Sapphire,Date,64 hours,1800
Oris,Divers Sixty-Five,Stainless Steel,Leather,Automatic,100 meters,40.0,12.9,20.0,Blue,Sapphire,Date,38 hours,1500
Hamilton,Khaki Field,Stainless Steel,NATO Strap,Automatic,100 meters,38.0,9.7,20.0,Black,Sapphire,None,80 hours,595
Panerai,Luminor Marina,Stainless Steel,Leather,Automatic,300 meters,42.0,13.2,22.0,Black,Sapphire,Date,72 hours,7500
IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,60 meters,41.0,15.3,22.0,Black,Sapphire,Date,72 hours,5400
Patek Philippe,Calatrava,White Gold,Leather,Manual,30 meters,37.0,7.7,20.0,White,Sapphire,None,44 hours,25000
Hublot,Big Bang,Carbon Fiber,Rubber,Automatic,100 meters,44.0,14.5,25.0,Black,Sapphire,Chronograph,72 hours,15000
Zenith,Chronomaster,Stainless Steel,Leather,Automatic,50 meters,38.0,12.6,20.0,Silver,Sapphire,Chronograph,50 hours,7500
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,9.8,20.0,Blue,Sapphire,Date,60 hours,25000
Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,11.0,22.0,Blue,Sapphire,Date,40 hours,18000
Breguet,Classique,White Gold,Leather,Automatic,30 meters,39.0,8.65,21.0,Silver,Sapphire,None,55 hours,20000
Ulysse Nardin,Marine,Stainless Steel,Rubber,Automatic,100 meters,42.0,12.8,22.0,Blue,Sapphire,Date,60 hours,8500
Blancpain,Fifty Fathoms,Stainless Steel,Canvas,Automatic,300 meters,45.0,15.5,23.0,Black,Sapphire,None,120 hours,10500
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,42.0,10.88,22.0,Black,Sapphire,Date,54 hours,9000
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.8,8.3,21.0,Blue,Sapphire,Date,55 hours,51000
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,9.8,20.0,Blue,Sapphire,Date,60 hours,22000
IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,60 meters,46.2,15.0,20.0,Black,Sapphire,Chronograph,68 hours,7500
Blancpain,Fifty Fathoms,Titanium,Fabric,Automatic,300 meters,45.0,15.4,23.0,Black,Sapphire,Date,120 hours,14500
Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,150 meters,41.0,11.0,22.0,Silver,Sapphire,Date,60 hours,21500
Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,42.0,12.75,20.0,Black,Sapphire,Chronograph,50 hours,7500
Hublot,Big Bang,Titanium,Rubber,Automatic,100 meters,44.0,14.5,22.0,Black,Sapphire,Chronograph,72 hours,15000
Breguet,Classique,18k Rose Gold,Leather,Automatic,30 meters,39.0,10.2,22.0,Silver,Sapphire,None,40 hours,18000
Chopard,Happy Sport,Stainless Steel,Leather,Quartz,30 meters,30.0,10.5,17.0,White,Sapphire,None,,5000
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,41.0,10.88,22.0,Blue,Sapphire,Date,54 hours,11500
Panerai,Luminor Marina,Stainless Steel,Leather,Automatic,300 meters,44.0,15.65,24.0,Black,Sapphire,Date,72 hours,8000
Tudor,Black Bay,Stainless Steel,Leather,Automatic,200 meters,41.0,14.75,22.0,Black,Sapphire,None,70 hours,3800
Panerai,Luminor,Stainless Steel,Leather,Manual,100 meters,44.0,13.05,24.0,Black,Sapphire,None,56 hours,6400
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41.0,12.3,22.0,Silver,Sapphire,Date,60 hours,8900
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,9.8,20.0,Blue,Sapphire,Date,60 hours,20400
Vacheron Constantin,Overseas,Stainless Steel,Rubber,Automatic,150 meters,41.0,11.0,21.0,Blue,Sapphire,Date,60 hours,22000
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.8,8.3,21.0,Blue,Sapphire,Date,45 hours,62500
Blancpain,Fifty Fathoms,Stainless Steel,Canvas,Automatic,300 meters,45.0,15.5,23.0,Black,Sapphire,Date,120 hours,14900
Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,50 meters,42.0,12.67,20.0,Silver,Sapphire,Chronograph,42 hours,5900
Longines,Master Collection,Stainless Steel,Leather,Automatic,30 meters,40.0,9.35,20.0,Silver,Sapphire,Date,64 hours,1500
Montblanc,Heritage,Stainless Steel,Leather,Automatic,50 meters,40.0,9.85,20.0,Black,Sapphire,Date,38 hours,2700
Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,42.0,12.75,20.0,Black,Sapphire,Chronograph,50 hours,6500
Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,100 meters,41.0,11.8,21.0,Blue,Sapphire,Date,70 hours,7800
Omega,Speedmaster,Stainless Steel,Stainless Steel,Automatic,50 meters,42.0,13.75,20.0,Black,Sapphire,"Chronograph, Date",48 hours,5300
Tag Heuer,Monaco,Stainless Steel,Leather,Automatic,100 meters,39.0,14.5,22.0,Blue,Sapphire,Chronograph,42 hours,5900
Breitling,Superocean,Stainless Steel,Rubber,Automatic,1000 meters,44.0,14.21,22.0,Blue,Sapphire,Date,38 hours,3800
Cartier,Ballon Bleu,Stainless Steel,Stainless Steel,Automatic,30 meters,42.0,13.0,22.0,Silver,Sapphire,Date,42 hours,7500
Jaeger-LeCoultre,Master Ultra Thin,Stainless Steel,Leather,Automatic,50 meters,39.0,7.5,20.0,White,Sapphire,Date,38 hours,6200
Rolex,GMT-Master II,Stainless Steel,Stainless Steel,Automatic,100 meters,40.0,12.5,20.0,Black,Sapphire,"GMT, Date",70 hours,9500
Omega,Aqua Terra,Stainless Steel,Stainless Steel,Automatic,150 meters,41.5,13.0,20.0,Silver,Sapphire,Date,60 hours,4700
Tag Heuer,Aquaracer,Stainless Steel,Stainless Steel,Automatic,300 meters,41.0,12.5,20.0,Black,Sapphire,Date,38 hours,2700
Breitling,Avenger II,Stainless Steel,Rubber,Automatic,300 meters,43.0,16.5,22.0,Black,Sapphire,"Chronograph, Date",42 hours,4600
Cartier,Santos,Stainless Steel,Leather,Automatic,100 meters,35.1,8.83,22.0,Silver,Sapphire,Date,42 hours,5300
Rolex,Daytona,Yellow Gold,Leather,Automatic,100 meters,40.0,12.4,20.0,Ivory,Sapphire,Chronograph,72 hours,39500
Omega,Speedmaster,Stainless Steel,Stainless Steel,Manual,50 meters,42.0,14.3,20.0,Black,Sapphire,Chronograph,48 hours,5400
TAG Heuer,Monaco,Stainless Steel,Leather,Automatic,100 meters,39.0,14.0,22.0,Blue,Sapphire,Chronograph,42 hours,6550
Cartier,Santos-Dumont,Stainless Steel,Leather,Quartz,30 meters,43.5,7.3,23.0,Silver,Sapphire,None,,5300
Breitling,Superocean,Stainless Steel,Rubber,Automatic,1000 meters,42.0,13.32,20.0,Blue,Sapphire,Date,38 hours,3850
Patek Philippe,Calatrava,White Gold,Leather,Automatic,30 meters,39.0,8.25,20.0,Silver,Sapphire,None,48 hours,25800
Tudor,Black Bay,Stainless Steel,Fabric,Automatic,200 meters,41.0,11.9,22.0,Black,Sapphire,Date,70 hours,4100
Blancpain,Fifty Fathoms,Stainless Steel,Rubber,Automatic,300 meters,45.0,15.5,23.0,Black,Sapphire,Date,120 hours,12900
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41.0,12.3,22.0,Blue,Sapphire,None,60 hours,6900
Vacheron Constantin,Overseas,Stainless Steel,Rubber,Automatic,150 meters,41.0,11.0,22.0,Blue,Sapphire,Date,40 hours,19800
Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,100 meters,36.0,12.0,20.0,Black,Sapphire,Date,70 hours,8100
Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,100 meters,36.0,12.5,20.0,Black,Sapphire,Date,70 hours,6500
Omega,Speedmaster Moonwatch,Stainless Steel,Stainless Steel,Manual,50 meters,42.0,14.3,20.0,Black,Hesalite,Chronograph,48 hours,5400
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,20.0,Blue,Sapphire,Date,55 hours,44000
Cartier,Ballon Bleu,18k Rose Gold,Leather,Automatic,30 meters,33.0,9.96,18.0,Silver,Sapphire,Date,42 hours,13200
Hublot,Classic Fusion,18k King Gold,Rubber,Automatic,50 meters,42.0,10.5,22.0,Blue,Sapphire,None,42 hours,20200
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,10.4,20.0,Blue,Sapphire,Date,60 hours,24800
IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,60 meters,41.0,12.8,22.0,Black,Sapphire,Date,42 hours,4800
Tudor,Black Bay GMT,Stainless Steel,Stainless Steel,Automatic,200 meters,41.0,14.5,22.0,Black,Sapphire,GMT,70 hours,4000
Breguet,Classique,18k White Gold,Leather,Manual,30 meters,40.0,6.95,20.0,White,Sapphire,None,65 hours,22500
Blancpain,Fifty Fathoms,Stainless Steel,Rubber,Automatic,300 meters,45.0,15.4,23.0,Black,Sapphire,Date,120 hours,12500
Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,50 meters,42.0,12.67,22.0,Black,Sapphire,Chronograph,42 hours,6900
Panerai,Luminor,Titanium,Leather,Automatic,100 meters,44.0,15.65,24.0,Black,Sapphire,None,72 hours,7500
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,10.4,20.0,Blue,Sapphire,"Date, Stopwatch",60 hours,25000
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,22.0,Blue,Sapphire,"Date, Moon Phase",45 hours,70000
IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,60 meters,41.0,10.8,20.0,Black,Sapphire,"Date, Stopwatch",42 hours,5500
Blancpain,Fifty Fathoms,Titanium,Fabric,Automatic,300 meters,45.0,15.4,23.0,Black,Sapphire,Date,120 hours,12000
Ulysse Nardin,Marine,Stainless Steel,Rubber,Automatic,100 meters,44.0,14.4,22.0,Blue,Sapphire,"Date, Power Reserve",60 hours,7500
Breguet,Classique,Rose Gold,Leather,Automatic,30 meters,38.0,8.25,20.0,Silver,Sapphire,None,45 hours,20000
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,38.0,10.88,22.0,Black,Sapphire,None,46 hours,8500
Hublot,Big Bang,Ceramic,Rubber,Automatic,100 meters,42.0,14.1,24.0,Black,Sapphire,"Date, Chronograph",42 hours,12000
Zenith,Chronomaster,Stainless Steel,Leather,Automatic,100 meters,42.0,14.05,20.0,Silver,Sapphire,"Date, Chronograph",50 hours,6000
Vacheron Constantin,Overseas,Stainless Steel,Rubber,Automatic,150 meters,41.0,11.0,22.0,Blue,Sapphire,Date,40 hours,12000
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,10.4,20.0,Black,Sapphire,Date,60 hours,22000
Hublot,Classic Fusion,Titanium,Rubber,Automatic,50 meters,42.0,10.5,22.0,Blue,Sapphire,Date,42 hours,8500
Panerai,Luminor Marina,Stainless Steel,Leather,Manual,300 meters,44.0,15.65,24.0,Black,Sapphire,None,56 hours,7200
Breguet,Classique,18K White Gold,Leather,Manual,30 meters,40.0,6.1,20.0,Silver,Sapphire,None,65 hours,16000
Chopard,Happy Sport,Stainless Steel,Stainless Steel,Quartz,30 meters,30.0,7.2,15.0,Silver,Sapphire,Date,,5800
Ulysse Nardin,Marine,Stainless Steel,Rubber,Automatic,100 meters,42.2,12.6,22.0,Blue,Sapphire,Date,60 hours,8900
IWC,Portugieser Chronograph,Stainless Steel,Leather,Automatic,30 meters,41.0,13.1,20.0,White,Sapphire,Chronograph,46 hours,7600
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.8,8.3,20.0,Blue,Sapphire,Date,45 hours,57000
Montblanc,1858 Geosphere,Titanium,Leather,Automatic,100 meters,42.0,12.8,22.0,Black,Sapphire,GMT,42 hours,6500
Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,150 meters,41.5,11.0,22.0,Blue,Sapphire,Date,60 hours,21000
Zenith,Chronomaster El Primero,Stainless Steel,Leather,Automatic,100 meters,38.0,12.45,20.0,Silver,Sapphire,Chronograph,50 hours,6000
Rolex,Daytona,18k Yellow Gold,Leather,Automatic,100 meters,40.0,12.4,20.0,Champagne,Sapphire,Chronograph,72 hours,29500
Audemars Piguet,Royal Oak,Rose Gold,Rose Gold,Automatic,50 meters,37.0,9.8,18.0,Blue,Sapphire,None,60 hours,36500
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,22.0,Blue,Sapphire,Date,45 hours,51000
IWC,Portuguese,Stainless Steel,Leather,Automatic,30 meters,42.3,14.2,22.0,White,Sapphire,Date,60 hours,8800
Blancpain,Fifty Fathoms,Stainless Steel,Rubber,Automatic,300 meters,45.0,15.4,23.0,Black,Sapphire,Date,120 hours,13500
Hublot,Big Bang,Carbon Fiber,Rubber,Automatic,100 meters,44.0,14.5,22.0,Black,Sapphire,Chronograph,72 hours,19500
Ulysse Nardin,Marine,Stainless Steel,Rubber,Automatic,100 meters,43.0,12.6,22.0,Blue,Sapphire,Date,60 hours,7000
Breguet,Classique,18k White Gold,Leather,Manual,30 meters,38.0,7.45,20.0,Silver,Sapphire,None,65 hours,23000
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,42.0,10.88,25.0,Black,Sapphire,Date,46 hours,9500
Piaget,Altiplano,18k White Gold,Leather,Manual,30 meters,40.0,6.36,20.0,Silver,Sapphire,None,43 hours,18500
Vacheron Constantin,Patrimony,18k Rose Gold,Leather,Manual,30 meters,42.0,7.65,20.0,Silver,Sapphire,None,65 hours,22500
Panerai,Luminor Marina,Stainless Steel,Leather,Automatic,300 meters,44.0,15.65,22.0,Black,Sapphire,"Date, GMT",72 hours,7500
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41.0,12.3,22.0,Blue,Sapphire,Date,60 hours,6500
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,9.8,20.0,Blue,Sapphire,Date,60 hours,20000
Hublot,Big Bang,Carbon Fiber,Rubber,Automatic,100 meters,44.0,14.5,26.0,Black,Sapphire,Chronograph,72 hours,12000
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,42.0,10.88,22.0,Blue,Sapphire,Date,54 hours,6500
Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,50 meters,42.0,11.43,22.0,Black,Sapphire,Chronograph,48 hours,6200
Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,150 meters,41.0,11.0,22.0,Blue,Sapphire,Date,60 hours,15000
Piaget,Altiplano,White Gold,Leather,Manual,30 meters,40.0,6.36,20.0,Silver,Sapphire,None,44 hours,22000
Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,42.0,12.75,22.0,Black,Sapphire,Chronograph,50 hours,5500
Breguet,Classique,White Gold,Leather,Automatic,30 meters,39.0,10.2,22.0,Silver,Sapphire,None,45 hours,19000
Tudor,Black Bay,Stainless Steel,Leather,Automatic,200 meters,41.0,12.7,22.0,Black,Sapphire,None,70 hours,3500
Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,100 meters,36.0,12.5,20.0,Blue,Sapphire,"Date, Cyclops",70 hours,7400
Omega,Speedmaster,Stainless Steel,Stainless Steel,Automatic,50 meters,42.0,14.3,20.0,Black,Hesalite,Chronograph,48 hours,5000
Cartier,Santos,Stainless Steel,Stainless Steel,Automatic,100 meters,39.8,9.08,20.0,Silver,Sapphire,Date,42 hours,6200
TAG Heuer,Aquaracer,Stainless Steel,Stainless Steel,Automatic,300 meters,43.0,12.5,21.0,Black,Sapphire,Date,38 hours,3100
