Brand,Model,Case Material,Strap Material,Movement Type,Water Resistance,Case Diameter (mm),Case Thickness (mm),Band Width (mm),Dial Color,Crystal Material,Complications,Power Reserve,Price (USD)
Breitling,Superocean,Stainless Steel,Rubber,Automatic,1000 meters,42.0,13.3,20.0,Blue,Sapphire,Date,38 hours,4100
Panerai,Luminor Marina,Stainless Steel,Leather,Automatic,300 meters,44.0,13.05,24.0,Black,Sapphire,None,72 hours,6500
Tudor,Black Bay,Stainless Steel,Leather,Automatic,200 meters,41.0,12.7,22.0,Black,Sapphire,Date,70 hours,3800
Zenith,Elite Classic,Stainless Steel,Leather,Automatic,50 meters,39.0,8.15,20.0,Silver,Sapphire,Date,50 hours,4900
Longines,Conquest Classic,Stainless Steel,Leather,Automatic,50 meters,40.0,10.75,20.0,Silver,Sapphire,Date,54 hours,1850
Montblanc,Star Legacy,Stainless Steel,Leather,Automatic,50 meters,42.0,11.4,22.0,White,Sapphire,"Date, Moonphase",42 hours,3900
Baume & Mercier,Clifton Baumatic,Stainless Steel,Leather,Automatic,50 meters,40.0,10.3,20.0,Silver,Sapphire,Date,120 hours,2750
Rolex,Datejust,Stainless Steel,Jubilee Bracelet,Automatic,100 meters,41.0,11.8,20.0,Blue,Sapphire,Date,70 hours,9500
Omega,Speedmaster Moonwatch,Stainless Steel,Stainless Steel,Manual,50 meters,42.0,13.75,20.0,Black,Hesalite,"Chronograph, Tachymeter",48 hours,5350
Breitling,Superocean Heritage,Stainless Steel,Stainless Steel,Automatic,200 meters,44.0,14.2,22.0,Blue,Sapphire,Date,38 hours,3250
Cartier,Santos-Dumont,18K Yellow Gold,Leather,Manual,30 meters,27.5,6.5,18.0,Silver,Sapphire,None,,14200
Tag Heuer,Monaco,Stainless Steel,Leather,Automatic,100 meters,39.0,14.0,22.0,Blue,Sapphire,Chronograph,40 hours,4950
Jaeger-LeCoultre,Master Control,Stainless Steel,Leather,Automatic,50 meters,40.0,8.5,20.0,Silver,Sapphire,"Date, Moonphase",70 hours,6500
Panerai,Luminor,Titanium,Rubber,Manual,300 meters,44.0,15.6,24.0,Black,Sapphire,None,72 hours,8500
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,10.4,20.0,Blue,Sapphire,Date,60 hours,27000
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,40.4,12.3,20.0,Silver,Sapphire,Chronograph,46 hours,7250
Patek Philippe,Calatrava,18K White Gold,Leather,Manual,30 meters,38.0,8.25,20.0,White,Sapphire,None,44 hours,25000
Bell & Ross,BR 03-92,Ceramic,Rubber,Automatic,100 meters,42.0,9.8,24.0,Black,Sapphire,None,40 hours,3800
Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,100 meters,36.0,12.5,20.0,Silver,Sapphire,"Date, Cyclops Lens",70 hours,8000
Omega,Speedmaster,Stainless Steel,Stainless Steel,Manual,50 meters,42.0,14.3,20.0,Black,Hesalite,"Chronograph, Tachymeter",48 hours,4500
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.8,8.3,20.0,Blue,Sapphire,Date,45 hours,52000
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,10.4,20.0,Blue,Sapphire,Date,60 hours,28500
IWC,Pilot's Watch Mark,Stainless Steel,Leather,Automatic,60 meters,41.0,12.5,20.0,Black,Sapphire,"Date, Chronograph",44 hours,6800
Hublot,Big Bang,Ceramic,Rubber,Automatic,100 meters,42.0,14.1,24.0,Black,Sapphire,Chronograph,72 hours,16000
Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,42.0,12.75,20.0,Black,Sapphire,Chronograph,50 hours,6500
Breguet,Classique,18K White Gold,Leather,Automatic,30 meters,39.0,8.65,20.0,Silver,Sapphire,None,40 hours,19000
Blancpain,Fifty Fathoms,Stainless Steel,Rubber,Automatic,300 meters,45.0,15.5,23.0,Black,Sapphire,Date,120 hours,13500
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,42.0,10.88,25.0,Black,Sapphire,Date,46 hours,8000
Jaquet Droz,Grande Seconde,Stainless Steel,Leather,Automatic,30 meters,43.0,12.48,23.0,Silver,Sapphire,None,68 hours,10000
Rolex,GMT-Master II,Stainless Steel,Stainless Steel,Automatic,100 meters,40.0,12.5,20.0,Black,Sapphire,"Date, GMT",70 hours,9700
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,21.0,Blue,Sapphire,Date,45 hours,29800
Omega,Speedmaster,Stainless Steel,Stainless Steel,Manual,50 meters,42.0,14.3,20.0,Black,Hesalite,Chronograph,48 hours,5350
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,9.8,20.0,Blue,Sapphire,Date,60 hours,18500
IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,60 meters,43.0,15.0,22.0,Black,Sapphire,Date,72 hours,4950
Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,42.0,12.75,20.0,White,Sapphire,"Chronograph, Date",50 hours,7900
Cartier,Santos-Dumont,Stainless Steel,Leather,Manual,30 meters,31.4,7.25,18.0,Silver,Sapphire,None,,4500
Hublot,Big Bang,Titanium,Rubber,Automatic,100 meters,44.0,14.5,24.0,Black,Sapphire,"Chronograph, Date",72 hours,16000
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,42.0,10.88,22.0,Blue,Sapphire,Date,54 hours,12800
Jaeger-LeCoultre,Master Control,Stainless Steel,Leather,Automatic,50 meters,40.0,8.78,20.0,Silver,Sapphire,"Date, Power Reserve Indicator",70 hours,8500
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41.0,12.3,22.0,Blue,Sapphire,"Date, Power Reserve Indicator",42 hours,8500
Panerai,Luminor,Titanium,Rubber,Automatic,300 meters,44.0,13.05,24.0,Black,Sapphire,"Date, Sub Seconds",72 hours,7500
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,20.0,Blue,Sapphire,Date,45 hours,39000
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,37.0,9.8,20.0,Blue,Sapphire,Date,40 hours,19500
Hublot,Big Bang,Titanium,Rubber,Automatic,100 meters,44.0,14.5,24.0,Black,Sapphire,"Date, Chronograph",72 hours,13000
Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,42.0,12.75,20.0,White,Sapphire,"Date, Chronograph, Moon Phase",50 hours,7500
Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,150 meters,41.0,11.0,22.0,Blue,Sapphire,"Date, World Time",60 hours,23000
Breguet,Classique,18K White Gold,Leather,Manual,30 meters,40.0,6.95,20.0,Silver,Sapphire,None,50 hours,24000
Blancpain,Fifty Fathoms,Stainless Steel,Fabric,Automatic,300 meters,45.0,15.5,23.0,Black,Sapphire,"Date, Power Reserve Indicator",120 hours,11000
Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,50 meters,44.0,14.45,22.0,Black,Sapphire,"Date, Chronograph",42 hours,6000
Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,100 meters,36.0,12.0,20.0,Silver,Sapphire,Date,70 hours,7500
Omega,Speedmaster,Stainless Steel,Stainless Steel,Automatic,50 meters,42.0,13.7,20.0,Black,Sapphire,"Chronograph, Tachymeter",60 hours,6500
Tag Heuer,Aquaracer,Stainless Steel,Stainless Steel,Automatic,300 meters,43.0,13.0,21.0,Blue,Sapphire,Date,38 hours,3700
Breitling,Superocean,Stainless Steel,Rubber,Automatic,200 meters,44.0,14.2,22.0,Black,Sapphire,Date,42 hours,4500
Cartier,Ballon Bleu,Stainless Steel,Stainless Steel,Automatic,30 meters,42.0,13.0,22.0,Silver,Sapphire,Date,42 hours,7500
Jaeger-LeCoultre,Master Control,Stainless Steel,Leather,Automatic,50 meters,40.0,8.8,20.0,Silver,Sapphire,"Date, Power Reserve",70 hours,6000
Rolex,GMT-Master II,Stainless Steel,Stainless Steel,Automatic,100 meters,40.0,12.5,20.0,Black,Sapphire,Dual Time Zone,70 hours,9500
Omega,Constellation,Stainless Steel,Stainless Steel,Automatic,100 meters,39.0,10.6,20.0,Black,Sapphire,Date,50 hours,4800
Tag Heuer,Monaco,Stainless Steel,Leather,Automatic,100 meters,39.0,14.5,22.0,Blue,Sapphire,Chronograph,40 hours,5200
Breitling,Chronomat,Stainless Steel,Stainless Steel,Automatic,200 meters,44.0,16.95,22.0,Blue,Sapphire,"Chronograph, Date",70 hours,6900
Cartier,Santos,Stainless Steel,Stainless Steel,Automatic,100 meters,35.1,8.83,18.0,Silver,Sapphire,Date,42 hours,5500
Rolex,Datejust,Stainless Steel,Stainless Steel,Automatic,100 meters,41.0,11.7,20.0,White,Sapphire,Date,70 hours,8000
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,21.0,Blue,Sapphire,Date,45 hours,40000
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,37.0,9.0,16.0,Blue,Sapphire,Date,60 hours,18000
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,40.4,12.3,22.0,White,Sapphire,Date,60 hours,7500
Hublot,Big Bang,Titanium,Rubber,Automatic,100 meters,44.0,14.5,25.0,Black,Sapphire,Chronograph,72 hours,14000
Blancpain,Fifty Fathoms,Stainless Steel,Canvas,Automatic,300 meters,45.0,15.4,23.0,Black,Sapphire,Date,120 hours,14000
Breguet,Classique,Rose Gold,Leather,Manual,30 meters,40.0,6.8,20.0,Silver,Sapphire,None,55 hours,25000
Jaeger-LeCoultre,Master Ultra Thin,Stainless Steel,Leather,Automatic,50 meters,39.0,7.8,20.0,Silver,Sapphire,None,70 hours,6500
Zenith,El Primero,Stainless Steel,Stainless Steel,Automatic,100 meters,42.0,12.75,20.0,Blue,Sapphire,Chronograph,50 hours,7000
Bulgari,Octo Finissimo,Titanium,Titanium,Automatic,30 meters,40.0,5.15,28.0,Black,Sapphire,None,55 hours,10000
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,42.0,10.88,22.0,Blue,Sapphire,Date,54 hours,9000
Rolex,GMT-Master II,Stainless Steel,Stainless Steel,Automatic,100 meters,40.0,12.1,20.0,Black,Sapphire,"GMT, Date",70 hours,9450
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.8,8.3,21.0,Blue,Sapphire,Date,55 hours,29800
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,9.8,20.0,Blue,Sapphire,"Date, Chronograph",50 hours,22300
Hublot,Classic Fusion,Titanium,Rubber,Automatic,50 meters,42.0,10.6,22.0,Black,Sapphire,Date,42 hours,8100
IWC,Pilot's Watch Mark XVIII,Stainless Steel,Leather,Automatic,60 meters,40.0,10.8,20.0,Black,Sapphire,Date,42 hours,3900
A. Lange & Söhne,Saxonia,Rose Gold,Leather,Manual,30 meters,38.5,7.8,18.0,Silver,Sapphire,None,72 hours,23300
Breguet,Classique,Rose Gold,Leather,Automatic,30 meters,39.0,8.65,20.0,Silver,Sapphire,Date,65 hours,23200
Chopard,Mille Miglia,Stainless Steel,Leather,Automatic,50 meters,44.0,14.4,22.0,Black,Sapphire,"Date, Chronograph, Tachymeter",42 hours,6300
Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,38.0,12.45,20.0,White,Sapphire,"Date, Chronograph",50 hours,5600
Panerai,Luminor,Titanium,Leather,Manual,100 meters,44.0,13.05,24.0,Black,Sapphire,None,56 hours,6900
Rolex,Daytona,Stainless Steel,Stainless Steel,Automatic,100 meters,40.0,12.4,20.0,White,Sapphire,Chronograph,72 hours,13500
Omega,Speedmaster,Stainless Steel,Stainless Steel,Manual,50 meters,42.0,14.3,20.0,Black,Hesalite,Chronograph,48 hours,4500
Cartier,Santos,Stainless Steel,Leather,Automatic,100 meters,39.8,9.08,20.0,Silver,Sapphire,Date,42 hours,6600
Breitling,Superocean Heritage,Stainless Steel,Leather,Automatic,200 meters,42.0,14.35,20.0,Black,Sapphire,Date,38 hours,4400
Tag Heuer,Aquaracer,Stainless Steel,Stainless Steel,Automatic,300 meters,41.0,12.0,20.0,Blue,Sapphire,Date,38 hours,2800
Jaeger-LeCoultre,Master Ultra Thin,Stainless Steel,Leather,Automatic,50 meters,40.0,7.45,20.0,Silver,Sapphire,None,43 hours,6300
Patek Philippe,Calatrava,18k Rose Gold,Leather,Manual,30 meters,38.0,7.68,19.0,White,Sapphire,None,44 hours,22900
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,9.8,20.0,Black,Sapphire,Date,60 hours,22500
Zenith,El Primero,Stainless Steel,Stainless Steel,Automatic,100 meters,42.0,12.75,20.0,Blue,Sapphire,Chronograph,50 hours,6900
Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,150 meters,41.0,11.0,20.0,Black,Sapphire,"Date, World Time",60 hours,20200
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,40.4,12.6,20.0,Silver,Sapphire,None,44 hours,7600
Panerai,Luminor Marina,Stainless Steel,Leather,Automatic,300 meters,44.0,15.65,24.0,Black,Sapphire,Date,72 hours,6500
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,21.0,Blue,Sapphire,Date,45 hours,34000
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,9.8,20.0,Black,Sapphire,Date,60 hours,22000
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41.0,12.3,22.0,White,Sapphire,Date,168 hours,9500
Hublot,Big Bang,Ceramic,Rubber,Automatic,100 meters,41.0,14.6,20.0,Black,Sapphire,Chronograph,42 hours,14000
Breguet,Classique,18k Rose Gold,Leather,Manual,30 meters,39.0,10.2,22.0,Silver,Sapphire,None,40 hours,26000
Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,38.0,12.5,20.0,Silver,Sapphire,Chronograph,50 hours,7000
Blancpain,Fifty Fathoms,Stainless Steel,NATO strap,Automatic,300 meters,45.0,15.4,23.0,Black,Sapphire,None,120 hours,10000
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,42.0,10.88,22.0,Blue,Sapphire,Date,54 hours,11500
Ulysse Nardin,Marine,Stainless Steel,Leather,Automatic,100 meters,42.2,12.6,20.0,Blue,Sapphire,Date,60 hours,7500
Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,150 meters,41.5,11.0,22.0,Silver,Sapphire,Date,60 hours,20000
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.0,8.3,20.0,Blue,Sapphire,Date,45 hours,26000
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,10.4,20.0,Grey,Sapphire,Date,60 hours,17000
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,42.3,14.2,22.0,White,Sapphire,Chronograph,46 hours,7800
A. Lange & Söhne,Saxonia,18k Rose Gold,Leather,Manual,30 meters,37.0,7.5,18.0,Silver,Sapphire,None,45 hours,17500
Vacheron Constantin,Overseas,Stainless Steel,Rubber,Automatic,150 meters,42.5,13.7,22.0,Blue,Sapphire,Date,40 hours,20000
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,41.0,10.88,26.0,Black,Sapphire,Chronograph,46 hours,12000
Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,42.0,12.75,22.0,Silver,Sapphire,Chronograph,50 hours,7500
Blancpain,Fifty Fathoms,Stainless Steel,Rubber,Automatic,300 meters,45.0,15.5,23.0,Black,Sapphire,Date,120 hours,14000
Hublot,Classic Fusion,Titanium,Rubber,Automatic,50 meters,45.0,10.95,22.0,Blue,Sapphire,None,42 hours,9500
Breguet,Classique,18k White Gold,Leather,Manual,30 meters,38.0,8.25,20.0,Silver,Sapphire,None,40 hours,22000
Piaget,Polo,Stainless Steel,Stainless Steel,Automatic,100 meters,42.0,9.4,22.0,Blue,Sapphire,Date,44 hours,10500
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,22.0,Blue,Sapphire,Date,45 hours,29000
Audemars Piguet,Royal Oak,Rose Gold,Leather,Automatic,50 meters,37.0,9.8,20.0,Black,Sapphire,Date,60 hours,38500
Hublot,Classic Fusion,Titanium,Rubber,Automatic,50 meters,42.0,9.85,22.0,Blue,Sapphire,None,42 hours,7500
Breguet,Classique,Rose Gold,Leather,Automatic,30 meters,39.0,10.2,20.0,Silver,Sapphire,None,65 hours,25000
IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,60 meters,41.0,15.3,20.0,Black,Sapphire,Date,42 hours,5900
Blancpain,Fifty Fathoms,Stainless Steel,NATO Strap,Automatic,300 meters,45.0,15.5,23.0,Black,Sapphire,Date,120 hours,12000
Zenith,El Primero,Stainless Steel,Leather,Automatic,100 meters,38.0,12.45,20.0,Silver,Sapphire,Chronograph,50 hours,6200
Chopard,Mille Miglia,Stainless Steel,Rubber,Automatic,50 meters,42.0,13.07,20.0,Black,Sapphire,Chronograph,48 hours,6800
Vacheron Constantin,Patrimony,White Gold,Leather,Manual,30 meters,40.0,6.79,20.0,Silver,Sapphire,None,65 hours,28000
Panerai,Luminor,Titanium,Leather,Automatic,300 meters,44.0,16.15,24.0,Black,Sapphire,None,72 hours,9500
Tudor,Black Bay,Stainless Steel,NATO Strap,Automatic,200 meters,41.0,11.9,22.0,Black,Sapphire,None,70 hours,3500
Panerai,Luminor Marina,Stainless Steel,Leather,Automatic,300 meters,42.0,14.5,22.0,Black,Sapphire,Date,50 hours,7200
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,41.0,12.3,22.0,Blue,Sapphire,None,60 hours,7900
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.0,8.3,22.0,Blue,Sapphire,Date,45 hours,36000
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,10.4,20.0,Blue,Sapphire,Date,60 hours,28500
Blancpain,Fifty Fathoms,Stainless Steel,Canvas,Automatic,300 meters,45.0,15.4,23.0,Black,Sapphire,Date,120 hours,15000
Breguet,Classique,18K Yellow Gold,Leather,Automatic,30 meters,39.0,10.2,20.0,Silver,Sapphire,Date,38 hours,26000
Zenith,Chronomaster,Stainless Steel,Leather,Automatic,50 meters,42.0,13.5,22.0,Blue,Sapphire,Chronograph,50 hours,6500
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,38.0,10.88,20.0,Blue,Sapphire,Date,54 hours,12000
Hublot,Big Bang,Titanium,Rubber,Automatic,100 meters,44.0,14.5,24.0,Black,Sapphire,Chronograph,72 hours,18500
Jaquet Droz,Grande Seconde,Stainless Steel,Leather,Automatic,30 meters,43.0,11.48,23.0,Black,Sapphire,None,68 hours,9500
Montblanc,Star Legacy,Stainless Steel,Leather,Automatic,50 meters,39.0,9.9,19.0,Silver,Sapphire,Date,42 hours,3500
Rolex,GMT-Master II,Stainless Steel,Stainless Steel,Automatic,100 meters,40.0,12.5,20.0,Black,Sapphire,"GMT, Date",70 hours,9900
Omega,Speedmaster,Stainless Steel,Stainless Steel,Manual,50 meters,42.0,14.3,20.0,Black,Hesalite,Chronograph,48 hours,4300
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,40.4,12.3,20.0,White,Sapphire,None,60 hours,7500
Hublot,Big Bang,Ceramic,Rubber,Automatic,100 meters,44.0,14.5,24.0,Black,Sapphire,Chronograph,72 hours,15500
Panerai,Luminor Marina,Stainless Steel,Leather,Manual,300 meters,44.0,13.05,24.0,Black,Sapphire,None,56 hours,5200
Patek Philippe,Calatrava,White Gold,Leather,Automatic,30 meters,37.0,8.5,18.0,White,Sapphire,Date,45 hours,25000
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,10.4,20.0,Blue,Sapphire,Date,60 hours,19500
Vacheron Constantin,Patrimony,Rose Gold,Leather,Automatic,30 meters,40.0,6.79,20.0,White,Sapphire,None,40 hours,15000
Blancpain,Fifty Fathoms,Titanium,Fabric,Automatic,300 meters,45.0,15.4,23.0,Black,Sapphire,None,120 hours,14000
Girard-Perregaux,Laureato,Stainless Steel,Stainless Steel,Automatic,100 meters,42.0,10.88,25.0,Blue,Sapphire,None,54 hours,7500
Jaquet Droz,Grande Seconde,Stainless Steel,Leather,Automatic,30 meters,43.0,11.48,22.0,White,Sapphire,None,68 hours,8500
Rolex,Datejust,Stainless Steel,Jubilee Bracelet,Automatic,100 meters,36.0,12.0,20.0,Blue,Sapphire,Date,70 hours,7650
Omega,Speedmaster,Stainless Steel,Stainless Steel,Manual,50 meters,42.0,14.3,20.0,Black,Hesalite,Chronograph,48 hours,5200
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,20.0,Blue,Sapphire,"Date, Chronograph",55 hours,67000
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,9.8,20.0,Blue,Sapphire,"Date, Power Reserve",60 hours,25000
Cartier,Ballon Bleu,Stainless Steel,Stainless Steel,Automatic,30 meters,36.6,12.05,18.0,Silver,Sapphire,Date,42 hours,4700
IWC,Portugieser,Stainless Steel,Leather,Automatic,30 meters,42.3,14.2,22.0,Blue,Sapphire,None,60 hours,9100
Jaeger-LeCoultre,Master Control,Stainless Steel,Leather,Automatic,50 meters,39.0,8.5,20.0,Silver,Sapphire,"Date, Moonphase",70 hours,8200
Blancpain,Fifty Fathoms,Stainless Steel,Canvas,Automatic,300 meters,45.0,15.5,23.0,Black,Sapphire,Date,120 hours,12500
Breguet,Classique,18K Rose Gold,Leather,Automatic,30 meters,39.0,9.9,22.0,White,Sapphire,"Date, Moonphase",65 hours,27900
Chopard,Mille Miglia,Stainless Steel,Rubber,Automatic,50 meters,42.0,12.67,20.0,Black,Sapphire,"Chronograph, Date",42 hours,6500
Seiko,Prospex,Stainless Steel,Silicone,Automatic,200 meters,44.3,13.1,22.0,Black,Hardlex,"Date, GMT",50 hours,1200
Tudor,Black Bay,Stainless Steel,Leather,Automatic,200 meters,41.0,14.75,22.0,Black,Sapphire,None,70 hours,3800
IWC,Pilot's Watch,Stainless Steel,Leather,Automatic,60 meters,39.0,10.86,20.0,Black,Sapphire,Date,42 hours,4500
Panerai,Luminor Marina,Titanium,Rubber,Automatic,300 meters,44.0,15.65,24.0,Black,Sapphire,None,72 hours,9500
Patek Philippe,Nautilus,Stainless Steel,Stainless Steel,Automatic,120 meters,40.5,8.3,20.0,Blue,Sapphire,Date,45 hours,35000
Audemars Piguet,Royal Oak,Stainless Steel,Stainless Steel,Automatic,50 meters,41.0,10.4,20.0,Black,Sapphire,Date,60 hours,24000
Breguet,Classique,18k Rose Gold,Leather,Automatic,30 meters,38.5,8.25,20.0,White,Sapphire,Date,38 hours,21500
Blancpain,Fifty Fathoms,Stainless Steel,Fabric,Automatic,300 meters,45.0,15.5,23.0,Black,Sapphire,Date,120 hours,13500
Longines,Master Collection,Stainless Steel,Leather,Automatic,30 meters,38.5,9.7,20.0,Blue,Sapphire,Date,64 hours,1800
Vacheron Constantin,Overseas,Stainless Steel,Stainless Steel,Automatic,150 meters,41.5,11.0,22.0,Blue,Sapphire,Date,40 hours,19000
Frederique Constant,Classics,Stainless Steel,Leather,Automatic,50 meters,40.0,10.6,20.0,Silver,Sapphire,Date,38 hours,1200
